image_path,source_id,y_true,y_pred,true_label,pred_label,confidence,pred_efficientnet_lite0,pred_efficientnet_b0,pred_shufflenet_v2_x1_0
clean/northern_corn_leaf_blight/real/northern_corn_leaf_blight_maize_africa_real_53403566.jpg,maize_africa,6,6,northern_corn_leaf_blight,northern_corn_leaf_blight,0.8334606885910034,6,6,6
clean/common_rust/lab/common_rust_multi_desease_lab_68558459.jpg,multi_desease,0,0,common_rust,common_rust,0.9063674211502076,0,0,0
clean/healthy/real/healthy_cropdg_real_1012.jpg,cropdg,3,3,healthy,healthy,0.8085401058197021,3,3,3
clean/fall_armyworm/real/fall_armyworm_maize_africa_real_29604867.jpg,maize_africa,1,1,fall_armyworm,fall_armyworm,0.8535575866699219,1,1,1
clean/northern_corn_leaf_blight/real/northern_corn_leaf_blight_maize_africa_real_81708063.jpg,maize_africa,6,6,northern_corn_leaf_blight,northern_corn_leaf_blight,0.7675960063934326,6,6,6
clean/healthy/real/healthy_maize_africa_v1.2_real_1163.jpg,maize_africa_v1.2,3,3,healthy,healthy,0.8212452530860901,3,3,3
clean/fall_armyworm/real/fall_armyworm_multi_desease_real_13120779.jpg,multi_desease,1,1,fall_armyworm,fall_armyworm,0.8665696978569031,1,1,1
clean/healthy/real/healthy_maize_desease_v1.1_real_24.jpg,maize_desease_v1.1,3,3,healthy,healthy,0.8235068917274475,3,3,3
clean/lethal_necrosis/real/lethal_necrosis_maize_africa_real_27875501.jpg,maize_africa,4,4,lethal_necrosis,lethal_necrosis,0.8423963189125061,4,4,4
clean/healthy/real/healthy_maize_africa_v1_real_463.jpg,maize_africa_v1,3,3,healthy,healthy,0.8187491297721863,3,3,3
clean/northern_corn_leaf_blight/real/northern_corn_leaf_blight_maize_desease_real_27357859.jpg,maize_desease,6,6,northern_corn_leaf_blight,northern_corn_leaf_blight,0.8353748321533203,6,6,6
clean/lethal_necrosis/real/lethal_necrosis_maize_africa_real_95860638.jpg,maize_africa,4,4,lethal_necrosis,lethal_necrosis,0.8441283702850342,4,4,4
clean/northern_corn_leaf_blight/real/northern_corn_leaf_blight_maize_africa_real_94229293.jpg,maize_africa,6,6,northern_corn_leaf_blight,northern_corn_leaf_blight,0.8302788734436035,6,6,6
clean/northern_corn_leaf_blight/real/northern_corn_leaf_blight_maize_africa_real_80368129.jpg,maize_africa,6,6,northern_corn_leaf_blight,northern_corn_leaf_blight,0.8187049627304077,6,6,6
clean/gray_leaf_spot/real/gray_leaf_spot_maize_field_real_41097163.jpg,maize_field,2,2,gray_leaf_spot,gray_leaf_spot,0.8775323629379272,2,2,2
clean/northern_corn_leaf_blight/real/northern_corn_leaf_blight_maize_africa_real_33551200.jpg,maize_africa,6,6,northern_corn_leaf_blight,northern_corn_leaf_blight,0.8289401531219482,6,6,6
clean/fall_armyworm/real/fall_armyworm_corn_leaf_roboflow_real_38179203.jpg,corn_leaf_roboflow,1,1,fall_armyworm,fall_armyworm,0.8487361669540405,1,1,1
clean/fall_armyworm/real/fall_armyworm_maize_africa_real_29503952.jpg,maize_africa,1,1,fall_armyworm,fall_armyworm,0.8736804127693176,1,1,1
clean/northern_corn_leaf_blight/real/northern_corn_leaf_blight_maize_africa_real_43243150.jpg,maize_africa,6,6,northern_corn_leaf_blight,northern_corn_leaf_blight,0.8441486358642578,6,6,6
clean/northern_corn_leaf_blight/real/northern_corn_leaf_blight_maize_desease_real_19999759.jpg,maize_desease,6,6,northern_corn_leaf_blight,northern_corn_leaf_blight,0.8386315107345581,6,6,6
clean/healthy/real/healthy_maize_desease_v1.1_real_3964.jpg,maize_desease_v1.1,3,3,healthy,healthy,0.8214958906173706,3,3,3
clean/lethal_necrosis/real/lethal_necrosis_maize_africa_real_45959295.jpg,maize_africa,4,4,lethal_necrosis,lethal_necrosis,0.8433434367179871,4,4,4
clean/gray_leaf_spot/real/gray_leaf_spot_maize_field_real_19162629.jpg,maize_field,2,2,gray_leaf_spot,gray_leaf_spot,0.8961330652236938,2,2,2
clean/northern_corn_leaf_blight/real/northern_corn_leaf_blight_maize_africa_real_76909234.jpg,maize_africa,6,6,northern_corn_leaf_blight,northern_corn_leaf_blight,0.8303360342979431,6,6,6
clean/healthy/real/healthy_maize_desease_v1.1_real_3540.jpg,maize_desease_v1.1,3,3,healthy,healthy,0.818138837814331,3,3,3
